,id,name,abrev,color,alt_color,mascot,logos
1716,1000359,Union Tennessee,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1717,1000126,University Club of Chicago,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
767,3254,University of Faith,UFFL,#FFFFFF,,Glory Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/3254.png
768,109425,University of God's Chosen,GDCH,#FFFFFF,,Disciples,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
769,1001000,University of Guelph,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1718,559,University of Mary,MAR,#000000,,Marauders,http://a.espncdn.com/i/teamlogos/ncaa/500/559.png
1719,1000736,University of Mexico,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
770,111675,University of New England,UNE,#FFFFFF,,Nor'Easters,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
771,110243,University of Texas of the Permian Basin,UTPB,#FFFFFF,,Falcons,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
773,389,Upper Iowa,UI,#000000,,Peacocks,http://a.espncdn.com/i/teamlogos/ncaa/500/389.png
1720,1000764,Upsala,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
774,2666,Urbana,URB,#000000,,Blue Knights,http://a.espncdn.com/i/teamlogos/ncaa/500/2666.png
775,2667,Ursinus,URS,#000000,,Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/2667.png
777,254,Utah,UTAH,#890012,#7e8083,Utes,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
1738,1000418,Utah Alumni,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
